Open,High,Low,Close,Inflation,CountryName,ISO3
0.94,0.95,0.94,0.94,-2.43,Afghanistan,AFG
0.95,0.95,0.94,0.94,-1.45,Afghanistan,AFG
0.94,0.95,0.94,0.95,0.47,Afghanistan,AFG
0.96,0.97,0.96,0.96,1.27,Afghanistan,AFG
0.97,0.98,0.97,0.97,1.23,Afghanistan,AFG
0.97,0.98,0.97,0.97,1.45,Afghanistan,AFG
0.98,0.98,0.97,0.97,2.1,Afghanistan,AFG
0.98,0.98,0.97,0.97,2.67,Afghanistan,AFG
0.97,0.98,0.97,0.97,2.91,Afghanistan,AFG
0.97,0.97,0.96,0.96,2.73,Afghanistan,AFG
0.96,0.97,0.96,0.97,4.14,Afghanistan,AFG
0.98,0.98,0.97,0.97,3.56,Afghanistan,AFG
0.98,0.98,0.97,0.97,2.81,Afghanistan,AFG
0.97,0.97,0.96,0.97,3.11,Afghanistan,AFG
0.98,0.98,0.97,0.97,2,Afghanistan,AFG
0.98,0.98,0.97,0.97,1.1,Afghanistan,AFG
0.97,0.98,0.97,0.97,0.63,Afghanistan,AFG
0.97,0.98,0.97,0.97,-0.19,Afghanistan,AFG
0.97,0.98,0.97,0.98,0.38,Afghanistan,AFG
0.98,0.99,0.98,0.98,1.28,Afghanistan,AFG
0.99,1,0.99,0.99,2.15,Afghanistan,AFG
0.99,1,0.99,0.99,3.14,Afghanistan,AFG
1,1,0.99,1,2.98,Afghanistan,AFG
1.01,1.01,1,1,2.39,Afghanistan,AFG
0.99,1,0.99,1,2.94,Afghanistan,AFG
1,1,0.99,0.99,2.31,Afghanistan,AFG
0.99,1,0.99,0.99,1.83,Afghanistan,AFG
0.99,0.99,0.99,0.99,1.41,Afghanistan,AFG
0.99,0.99,0.98,0.99,2.16,Afghanistan,AFG
1,1,0.99,1,3.05,Afghanistan,AFG
1.01,1.01,1,1,1.92,Afghanistan,AFG
0.99,1,0.99,0.99,0.42,Afghanistan,AFG
0.99,0.99,0.98,0.99,0.13,Afghanistan,AFG
0.99,1,0.99,0.99,0.04,Afghanistan,AFG
1,1,0.99,1,-0.37,Afghanistan,AFG
1,1,0.99,1,0.44,Afghanistan,AFG
1,1.01,1,1,0.14,Afghanistan,AFG
1,1,0.99,1,0.9,Afghanistan,AFG
1.01,1.01,1,1.01,2.12,Afghanistan,AFG
1.02,1.02,1.01,1.01,2.15,Afghanistan,AFG
1.01,1.01,1,1,1.12,Afghanistan,AFG
1,1.01,1,1,0.21,Afghanistan,AFG
1,1.01,1,1,0.77,Afghanistan,AFG
1.01,1.01,1,1.01,1.85,Afghanistan,AFG
1.01,1.02,1.01,1.01,2.27,Afghanistan,AFG
1.02,1.02,1.01,1.02,2.29,Afghanistan,AFG
1.02,1.02,1.02,1.02,1.87,Afghanistan,AFG
1.02,1.02,1,1,0.1,Afghanistan,AFG
0.99,1,0.99,0.99,-0.8,Afghanistan,AFG
0.98,1,0.98,1,-0.47,Afghanistan,AFG
1.01,1.01,1,1,-1.23,Afghanistan,AFG
1,1.01,1,1.01,-0.01,Afghanistan,AFG
1.02,1.02,1.01,1.02,1.12,Afghanistan,AFG
1.02,1.03,1.02,1.02,1.88,Afghanistan,AFG
1.03,1.03,1.02,1.02,2.11,Afghanistan,AFG
1.03,1.06,1.02,1.06,4.85,Afghanistan,AFG
1.08,1.11,1.07,1.11,9.37,Afghanistan,AFG
1.15,1.16,1.13,1.13,11.65,Afghanistan,AFG
1.16,1.17,1.14,1.14,12.33,Afghanistan,AFG
1.15,1.16,1.13,1.13,13.15,Afghanistan,AFG
1.13,1.14,1.12,1.13,14.07,Afghanistan,AFG
1.13,1.14,1.12,1.13,12.96,Afghanistan,AFG
1.13,1.14,1.12,1.14,13.83,Afghanistan,AFG
1.15,1.16,1.14,1.15,14,Afghanistan,AFG
1.16,1.17,1.15,1.15,13.61,Afghanistan,AFG
1.16,1.17,1.15,1.16,13.49,Afghanistan,AFG
1.16,1.17,1.16,1.17,13.89,Afghanistan,AFG
1.17,1.18,1.17,1.17,10.86,Afghanistan,AFG
1.18,1.18,1.17,1.17,5.28,Afghanistan,AFG
1.16,1.17,1.16,1.16,2.63,Afghanistan,AFG
1.16,1.17,1.16,1.16,1.75,Afghanistan,AFG
1.16,1.18,1.15,1.18,4.27,Afghanistan,AFG
1.2,1.22,1.19,1.22,8.03,Afghanistan,AFG
1.25,1.26,1.24,1.24,10.03,Afghanistan,AFG
1.26,1.27,1.25,1.27,11.86,Afghanistan,AFG
1.3,1.31,1.29,1.29,12.52,Afghanistan,AFG
1.31,1.36,1.3,1.36,17.86,Afghanistan,AFG
1.41,1.43,1.39,1.39,19.77,Afghanistan,AFG
1.41,1.43,1.36,1.36,16.82,Afghanistan,AFG
1.35,1.37,1.32,1.35,15.52,Afghanistan,AFG
1.35,1.38,1.33,1.38,18.67,Afghanistan,AFG
1.4,1.43,1.38,1.42,21.8,Afghanistan,AFG
1.45,1.48,1.43,1.48,27.39,Afghanistan,AFG
1.52,1.55,1.49,1.49,26.06,Afghanistan,AFG
1.5,1.53,1.48,1.51,23.77,Afghanistan,AFG
1.52,1.55,1.5,1.52,22.19,Afghanistan,AFG
1.53,1.55,1.51,1.51,18.75,Afghanistan,AFG
1.51,1.53,1.49,1.5,15.97,Afghanistan,AFG
1.5,1.51,1.48,1.51,10.81,Afghanistan,AFG
1.51,1.53,1.5,1.52,9.42,Afghanistan,AFG
1.53,1.55,1.52,1.55,13.6,Afghanistan,AFG
1.57,1.58,1.52,1.52,12.49,Afghanistan,AFG
1.51,1.53,1.49,1.49,7.87,Afghanistan,AFG
1.47,1.49,1.45,1.47,3.77,Afghanistan,AFG
1.46,1.48,1.45,1.45,-2.05,Afghanistan,AFG
1.43,1.45,1.41,1.43,-3.95,Afghanistan,AFG
1.42,1.44,1.41,1.44,-4.7,Afghanistan,AFG
1.44,1.46,1.42,1.42,-6.5,Afghanistan,AFG
1.41,1.42,1.39,1.42,-5.8,Afghanistan,AFG
